lsoa11cd,nonwhiteZoneProp.lsoa,pstaniZoneProp.lsoa,nonUKZoneProp.lsoa,proportionMuslim,proportionNonMuslim,antiSocialBehaviour,Burglary,violentCrime,allCrimePer1000Pop,IMD_rank,IMD_rank_inverse,IMD_rank_inverse_relative
E01007702,6.26959247648903,2.44514106583072,6.89655172413793,2.6959247648902824,92.13785780474136,141.06583072100312,1.2539184952978057,6.269592476489028,188.71473354231975,9513,23331,95
E01007703,5.17380759902991,3.55699272433306,3.96119644300728,3.7186742118027487,91.11510835782889,24.252223120452708,5.658852061438965,1.6168148746968471,45.270816491511724,18272,14572,57
E01007704,4.41379310344828,2.20689655172414,3.58620689655172,2.2758620689655173,92.55792050066611,81.37931034482757,9.655172413793103,11.034482758620689,139.3103448275862,11319,21525,82
E01007705,6.24178712220762,1.97109067017083,3.0880420499343,2.299605781865966,92.53417678776567,65.04599211563732,5.256241787122208,3.9421813403416555,101.1826544021025,24892,7952,17
E01007706,5.6241426611797,2.81207133058985,4.32098765432099,3.2235939643347047,91.61018860529693,38.408779149519894,3.429355281207133,2.05761316872428,57.61316872427984,18846,13998,54
E01007707,3.07793058284217,1.50622134905043,2.61951538965291,1.7026850032743943,93.13109756635724,64.83300589390963,4.5841519318926,6.5487884741322855,105.4354944335298,16560,16284,61
E01007708,9.92822966507177,4.48564593301435,5.20334928229665,5.801435406698564,89.03234716293308,71.17224880382774,6.578947368421052,4.186602870813397,117.22488038277511,3309,29535,135
E01007709,4.3956043956044,2.47252747252747,2.9532967032967,2.7472527472527473,92.08652982237889,22.664835164835164,6.181318681318681,1.3736263736263736,49.450549450549445,29093,3751,6
E01007710,3.83631713554987,2.17391304347826,2.94117647058824,2.1099744245524295,92.7238081450792,17.263427109974423,5.115089514066496,2.557544757033248,37.723785166240404,30361,2483,2
E01007711,11.00611450806,5.94774874930517,6.17009449694275,6.559199555308505,88.27458301432313,27.237354085603112,5.00277932184547,1.1117287381878822,51.69538632573652,26759,6085,12
E01007712,20.1017811704835,12.7226463104326,11.6539440203562,14.30025445292621,80.53352811670543,39.69465648854962,5.089058524173028,1.0178117048346056,52.41730279898219,24084,8760,21
E01007713,21.5384615384615,15.1384615384615,9.47692307692308,15.692307692307692,79.14147487732394,30.153846153846153,6.769230769230769,3.076923076923077,51.69230769230769,25985,6859,14
E01007714,37.8338278931751,20.4253214638971,33.6300692383778,26.112759643916917,68.72102292571472,200.29673590504453,55.39070227497527,153.3135509396637,941.6419386745797,805,32039,155
E01007715,46.9115191986644,29.9387868670006,28.5475792988314,33.83416805787424,60.9996145117574,187.5347801892042,19.47690595436839,25.041736227045075,292.7100723427935,242,32602,167
E01007716,45.6305599162742,34.2752485609628,26.8969126111983,37.88592360020932,56.94785896942232,152.276295133438,17.791732077446362,29.82731554160126,294.6101517530089,634,32210,158
E01007717,10.7481559536354,3.89884088514226,9.79978925184405,6.164383561643835,88.6693990079878,131.19072708113805,18.440463645943098,12.118018967334036,231.82297154899896,4744,28100,126
E01007718,16.9912693082606,11.4170584284755,10.2081934184016,12.357286769644055,82.47649579998759,124.91605104096709,18.132975151108123,11.417058428475487,223.6400268636669,1835,31009,148
E01007719,1.92461908580593,0.561347233360064,2.24538893344026,0.48115477145148355,94.35262779818015,128.30793905372894,19.246190858059343,9.623095429029672,241.3793103448276,1106,31738,153
E01007720,3.05851063829787,0.598404255319149,2.72606382978723,0.7313829787234043,94.10239959090823,93.08510638297872,13.297872340425531,7.978723404255319,162.89893617021278,8160,24684,103
E01007721,3.93650793650794,1.07936507936508,5.01587301587302,1.5238095238095237,93.30997304582212,123.80952380952381,11.428571428571429,17.77777777777778,316.1904761904762,1039,31805,154
E01007723,1.95794053662074,0.290065264684554,1.37781000725163,0.43509789702683105,94.3986846726048,195.06889050036258,13.778100072516315,12.327773749093547,286.4394488759971,2256,30588,144
E01007724,2.55102040816327,0.364431486880466,2.40524781341108,0.2915451895043732,94.54223738012726,37.90087463556851,7.288629737609329,2.186588921282799,75.80174927113703,19672,13172,47
E01007725,2.55255255255255,0.15015015015015,2.62762762762763,0.8258258258258258,94.0079567438058,56.306306306306304,5.255255255255256,3.003003003003003,85.58558558558559,18676,14168,55
E01007726,2.1875,0,2.875,0.1875,94.64628256963164,93.75,6.875,13.75,166.875,3390,29454,133
E01007727,0.801068090787717,0.267022696929239,1.93591455273698,0.13351134846461948,94.70027122116701,101.46862483311081,10.013351134846463,4.005340453938585,164.21895861148198,2723,30121,141
E01007728,1.16487455197133,0.0896057347670251,1.4336917562724,0.17921146953405018,94.65457110009758,46.59498207885305,17.025089605734767,2.688172043010753,114.69534050179212,12141,20703,77
E01007729,5.74074074074074,0.493827160493827,4.87654320987654,1.9135802469135803,92.92020232271805,119.1358024691358,11.728395061728396,11.728395061728396,183.33333333333334,1765,31079,149
E01007730,4.02258292166549,0.352858151023289,3.31686661961891,1.340860973888497,93.49292159574314,148.9061397318278,16.937191249117856,18.34862385321101,254.7635850388144,1755,31089,150
E01007731,1.61550888529887,0.403877221324717,1.2924071082391,0.6462035541195477,94.18757901551209,69.46688206785137,11.308562197092083,12.924071082390954,135.702746365105,11009,21835,84
E01007732,1.97879858657244,0.141342756183746,2.54416961130742,0.4240282685512367,94.4097543010804,79.85865724381625,5.653710247349823,7.067137809187279,144.1696113074205,2463,30381,143
E01007733,2.72108843537415,0,2.87226001511716,0.8314436885865457,94.00233888104509,77.09750566893423,7.558578987150416,7.558578987150416,126.98412698412697,5664,27180,120
E01007734,9.34314835787089,5.09626274065685,5.60588901472254,5.889014722536806,88.94476784709484,102.49150622876557,10.758776896942242,9.626274065685164,166.47791619479048,2067,30777,146
E01007735,11.8430273300631,5.25578135949544,6.23686054660126,7.358093903293623,87.47568866633802,150.6657323055361,24.52697967764541,14.716187806587245,263.489838822705,480,32364,162
E01007736,23.114956736712,13.1644004944376,16.5636588380717,17.79975278121137,77.03402978842027,199.01112484548824,19.777503090234855,16.687268232385662,333.1273176761434,323,32521,163
E01007737,7.07517372078332,0.568540745420088,6.25394819962097,1.137081490840177,93.69670107879146,158.5596967782691,14.529374605180038,13.26595072646873,260.897030953885,257,32587,166
E01007738,10.2902374670185,4.22163588390501,6.53034300791557,6.662269129287599,88.17151344034404,166.2269129287599,17.810026385224276,18.469656992084435,266.490765171504,670,32174,157
E01007739,13.9256458727158,8.88468809073724,6.61625708884688,10.459987397605545,84.37379517202609,120.98298676748583,11.972274732199118,12.60239445494644,199.74795211090108,623,32221,159
